ticker,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
GOOG,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,64.04199475065617,1243.7288047790523,1263.8788825988768,24.37288047790523,-6.505866202743568,171.6538729705499,233.28570412357615,0.7358096528693476,8.791304215085225,16.224826405981254,-10.57970474847546,-3.090113675527908,38 days 07:00:00,4 days 20:00:00,8,87.5,5.84436267305427,-2.493052937999407,1.4774123973894104,23 days 05:00:00,7 days 06:00:00,5.846674361618542,1.5103769695949385,1.6232126901412898,XABCD
GOOGL,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,64.04199475065617,1232.9454177856444,1284.898944854736,23.29454177856444,-6.966529606608753,161.02865740153862,240.03621737667635,0.6708515038330434,8.438812217101312,14.690820259423834,-10.961175384216027,-3.3051204052058623,38 days 07:00:00,5 days 06:00:00,6,66.66666666666666,6.977083999418198,-2.4859859874137857,1.649494979514099,36 days 23:00:00,9 days 16:00:00,4.191567318184282,1.7040148702836915,1.2902961448282966,XABCD
INTC,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,41.99475065616798,866.3202218055729,1054.860628128052,-13.367977819442705,11.564803728997306,-48.1851795230604,16.23568361569207,0.0,0.0,0.0,-17.87348975732097,-4.1979064476044154,53 days 02:00:00,9 days 22:00:00,26,46.15384615384615,4.361790512989527,-2.5008009460157687,-0.3255563473676837,12 days 03:00:00,1 days 10:00:00,0.5718064284412897,-0.3136391321976286,-1.0300465490203288,XABCD
JPM,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,53.805774278215225,1070.6931930541994,1071.4932418823244,7.069319305419936,6.613133740673698,36.747635974589635,27.595983290233622,1.3316298820776151,2.805034873859777,3.24638547423202,-11.319554090625306,-3.5401028008496294,34 days 02:00:00,9 days 12:00:00,10,70.0,8.14407898263294,-2.499999999999991,0.5492004508670378,21 days 00:00:00,4 days 15:00:00,1.8778108681577734,0.5890686269121026,0.5658075469009388,XABCD
LLY,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,27.034120734908136,967.7113403320313,1101.4776672363278,-3.2288659667968655,2.7058294915881196,-13.96206332005756,36.31158156772756,0.0,0.0,0.0,-15.60040187270404,-7.612268102594015,31 days 01:00:00,11 days 11:00:00,10,50.0,1.790797892522067,-2.4991138434417914,-0.4032752684001717,13 days 03:00:00,2 days 22:00:00,0.5321124306545664,-0.3916557856900515,-0.3522053611784442,XABCD
META,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,23.88451443569554,1108.3071853637693,1116.4271804809568,10.830718536376935,6.075768644612492,60.186046204936886,41.48632786539847,1.4507441198509847,4.021213812284261,5.215016042848991,-11.54091295413483,-4.015079985923181,32 days 21:00:00,9 days 19:00:00,14,85.71428571428571,2.2772808543080836,-2.517375707726721,0.4448925310578833,12 days 20:00:00,2 days 06:00:00,2.2639161946926474,0.45453598930309536,1.1112850018463378,XABCD
MSFT,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,64.04199475065617,1264.6582794189453,1333.295602416992,26.46582794189453,12.234728336485764,193.23960328083683,76.89264167159205,2.5131091750776604,13.802610722139832,37.53723222487509,-5.147944902362333,-1.1968154462222897,13 days 03:00:00,2 days 00:00:00,12,83.33333333333334,14.148728701100733,-2.5000234380765596,1.317679437485797,34 days 03:00:00,4 days 08:00:00,6.862117705541024,1.3903425159207146,1.362938906055036,XABCD
NFLX,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,55.90551181102362,1175.817278289795,1218.1335014343263,17.581727828979503,14.450691668421767,110.03145811702981,44.13016572018078,2.4933388833097516,10.59553273043822,16.69925877063579,-6.589002519711274,-1.2051011688818356,27 days 04:00:00,3 days 22:00:00,4,75.0,15.588117121759314,-2.2017258202229772,3.2481957237848746,39 days 06:00:00,10 days 20:00:00,7.319351858827512,3.47837003866365,0.9010304662478065,XABCD
NVDA,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,27.034120734908136,1259.4657958984371,1259.5693420410153,25.946579589843715,4.347225849102918,187.76353931471724,132.04146393526065,1.4220043743742259,7.638868056371286,15.55505132147688,-12.070904520608805,-3.0561367419345555,30 days 01:00:00,5 days 06:00:00,12,75.0,4.019026081823873,-4.5597447153871595,0.8373715558028128,13 days 21:00:00,2 days 07:00:00,2.4522941892234975,0.8638588018030366,1.8226081181458635,XABCD
PANW,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,27.296587926509186,693.3826152801513,1022.9807167053224,-30.66173847198487,18.375182195440566,-81.32042611911463,11.705907982322303,0.0,0.0,0.0,-37.62932377936142,-10.201255884666882,47 days 04:00:00,15 days 19:00:00,12,41.66666666666667,6.834230519243323,-6.576874332945892,-1.4940431805564813,7 days 04:00:00,2 days 01:00:00,0.2947503805461,-1.437726566105226,-1.8795180893615986,XABCD
QQQ,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,36.74540682414698,1087.541011810302,1093.510982513427,8.754101181030205,4.278350757494443,46.88833624192659,28.005075849658624,1.6742799231696475,7.099516189746753,10.141192083901222,-4.623552719838542,-1.4638118343476871,38 days 22:00:00,5 days 23:00:00,14,71.42857142857143,1.3125140991144146,-2.177860205772364,0.2459755626542881,8 days 00:00:00,2 days 01:00:00,2.2314252634241485,0.2496716133767491,1.7377344818885414,XABCD
SPY,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,34.120734908136484,952.9082580566405,1029.8389205932617,-4.709174194335946,3.0042644903605007,-19.82925743844268,10.78732483910607,0.0,0.0,0.0,-9.40688929625363,-2.8204104160769656,48 days 05:00:00,12 days 08:00:00,12,58.333333333333336,0.713437275954798,-2.544981097380039,-0.2775017820602743,10 days 22:00:00,2 days 02:00:00,0.42104178311649426,-0.2722205358641002,-0.7301170463177901,XABCD
TMO,2023-09-18 09:30:00-04:00,2023-12-04 14:30:00-05:00,77 days 06:00:00,54.473684210526315,1157.511967468262,1242.843620300293,15.75119674682619,-2.99929306595623,95.46195780398807,43.628555841891554,2.1880613731506275,7.5054235744644915,8.56966781295044,-11.139516710289099,-1.3574665425495136,35 days 06:00:00,3 days 06:00:00,14,78.57142857142857,8.634195369031461,-2.5225643441696755,0.9560026283458534,29 days 00:00:00,3 days 02:00:00,5.3989770295052875,0.9825485724392862,1.2858367272373006,XABCD
TSLA,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,24.409448818897637,1172.1886146545412,1399.7683204650878,17.21886146545412,-11.502632972143711,107.07801559912275,105.46667360960669,1.0152782100199782,4.029414959282012,6.472532495214247,-16.543449674187904,-5.058202836191581,35 days 03:00:00,6 days 21:00:00,20,50.0,9.319310241246882,-2.5122362525311637,0.13490183932300948,9 days 23:00:00,1 days 04:00:00,1.2436287923782956,0.16561631782906483,0.6416582298981448,XABCD
UNH,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,31.496062992125985,1083.5166381835938,1093.4066528320313,8.351663818359384,12.999669102785505,44.41433839550106,18.354516436627495,2.4198043325657816,9.838535278319942,20.91751529771723,-2.123308517448441,-0.8716062447790458,39 days 02:00:00,4 days 20:00:00,12,75.0,2.3790371085320894,-0.26813870972608456,0.49506067550824095,17 days 02:00:00,2 days 10:00:00,11.842716284109608,0.497526004226682,2.814037791153348,XABCD
V,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,51.70603674540683,1127.0030525207521,1137.1430671691896,12.700305252075214,4.776810360092096,72.94632270731452,27.688933186660066,2.634493796332265,9.415387606484915,12.500371406347226,-5.835532428282497,-1.3524975108729729,24 days 03:00:00,3 days 07:00:00,10,90.0,4.357541504349305,-2.504357266590218,0.7027670011375386,18 days 23:00:00,4 days 18:00:00,3.857766939949919,0.7156869402284871,1.7715828935198028,XABCD
WMT,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,40.94488188976378,934.076373672485,1070.2612419128416,-6.592362632751497,-5.8801996133273615,-26.83599285560807,18.570746741994366,0.0,0.0,0.0,-15.270139266584914,-5.6188515830323915,59 days 07:00:00,20 days 18:00:00,16,50.0,1.1741498975103237,-2.4937930976550504,-0.1978748332060798,8 days 04:00:00,2 days 21:00:00,0.554486376629935,-0.19281680259821618,-0.802980625471228,XABCD
XOM,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,25.72178477690289,918.4972219467165,1047.1625335693361,-8.150277805328345,-12.910766343066339,-32.262461868704975,16.006433294051547,0.0,0.0,0.0,-18.766721262941132,-3.4279264440045996,46 days 05:00:00,8 days 04:00:00,12,50.0,1.4637700169297885,-2.504856532373312,-0.44920865763492523,4 days 21:00:00,2 days 12:00:00,0.43653638137808143,-0.4399927835263699,-0.9345935649980297,XABCD
